Name,Gender,Age,Location,Job,Salary,Designation,Education
Ian,Female,62,Denver,Nurse,79405,Lead,PhD
Ryan,Male,41,Dallas,Engineer,78269,Director,High School
Hannah,Male,61,Seattle,Writer,76926,Junior,Master's
David,Female,50,Boston,Chef,62500,Junior,Bachelor's
Charlie,Female,56,Miami,Doctor,96134,Manager,Associate Degree
David,Female,18,New York,Teacher,50761,Director,High School
Emma,Male,30,Chicago,Pilot,127590,Executive,Bachelor's
Charlie,Male,57,New York,Writer,59959,Executive,Master's
Laura,Non-binary,29,Denver,Nurse,56885,Manager,PhD
Laura,Male,61,New York,Designer,72571,Executive,High School
Bob,Male,47,Seattle,Engineer,93606,Mid-level,Associate Degree
Kevin,Male,43,Houston,Chef,70563,Director,Bachelor's
Nina,Non-binary,32,Dallas,Engineer,102271,Mid-level,Bachelor's
Emma,Male,60,Denver,Artist,45732,Director,High School
Kevin,Female,47,Los Angeles,Developer,108691,Junior,PhD
Charlie,Female,50,Los Angeles,Pilot,105363,Junior,Bachelor's
Sophia,Female,42,Dallas,Artist,39298,Senior,Associate Degree
Paula,Non-binary,46,Boston,Teacher,55491,Mid-level,Master's
Kevin,Non-binary,33,Los Angeles,Nurse,50277,Junior,PhD
Fiona,Female,51,New York,Writer,59932,Mid-level,Bachelor's
Fiona,Female,58,Miami,Engineer,116333,Lead,Master's
Sophia,Male,57,Miami,Developer,82706,Senior,PhD
Emma,Male,60,New York,Pilot,113638,Senior,Associate Degree
Charlie,Non-binary,48,Boston,Artist,74160,Junior,High School
Mike,Male,42,Houston,Doctor,148463,Junior,Master's
Fiona,Male,43,New York,Pilot,85726,Junior,Bachelor's
Ian,Non-binary,56,Boston,Chef,77904,Manager,Master's
Charlie,Male,34,Seattle,Nurse,78762,Executive,PhD
Ian,Female,32,Miami,Doctor,171104,Manager,PhD
Charlie,Male,31,San Francisco,Writer,75685,Senior,Associate Degree
Mike,Non-binary,30,Boston,Teacher,57235,Lead,Master's
Laura,Male,62,San Francisco,Teacher,75183,Mid-level,Master's
Bob,Non-binary,56,Boston,Teacher,65038,Mid-level,PhD
Quinn,Female,20,Seattle,Artist,60932,Lead,Master's
George,Non-binary,27,Seattle,Nurse,78104,Manager,Associate Degree
Julia,Female,59,Dallas,Nurse,51721,Lead,PhD
Laura,Male,37,Denver,Writer,78161,Senior,Associate Degree
Tom,Non-binary,27,Miami,Artist,32720,Manager,PhD
George,Male,29,Denver,Chef,48704,Mid-level,Master's
Emma,Male,45,Los Angeles,Nurse,55194,Manager,Bachelor's
Quinn,Female,30,Denver,Teacher,75404,Manager,High School
Kevin,Non-binary,64,Miami,Designer,94798,Junior,PhD
David,Non-binary,60,Los Angeles,Designer,57995,Senior,High School
Ryan,Male,55,New York,Artist,66612,Lead,Associate Degree
Hannah,Female,18,Chicago,Teacher,54700,Lead,PhD
Fiona,Non-binary,62,Houston,Artist,63584,Director,Bachelor's
Paula,Male,54,New York,Teacher,44991,Executive,Master's
Emma,Non-binary,45,Los Angeles,Doctor,150539,Junior,Associate Degree
Sophia,Female,22,Miami,Engineer,70836,Lead,Bachelor's
Laura,Male,21,Houston,Nurse,75328,Manager,PhD
Bob,Male,21,Boston,Developer,92241,Executive,High School
Sophia,Non-binary,41,Seattle,Artist,49222,Executive,Master's
Tom,Male,40,Miami,Artist,77734,Mid-level,PhD
Sophia,Male,63,Seattle,Nurse,54364,Junior,High School
Ryan,Non-binary,19,Houston,Engineer,117306,Executive,PhD
Quinn,Female,45,Los Angeles,Chef,50392,Senior,PhD
Kevin,Female,51,Los Angeles,Pilot,98766,Manager,Associate Degree
Nina,Non-binary,24,Seattle,Engineer,91021,Manager,High School
Sophia,Female,38,San Francisco,Doctor,141333,Executive,High School
Kevin,Female,35,San Francisco,Pilot,90081,Junior,Associate Degree
Ian,Female,39,Houston,Chef,53198,Mid-level,High School
Emma,Female,26,Houston,Doctor,139024,Director,PhD
Tom,Female,50,Houston,Nurse,89875,Lead,High School
Emma,Male,25,Seattle,Doctor,163015,Mid-level,Master's
George,Male,25,Los Angeles,Writer,62201,Junior,Bachelor's
Kevin,Non-binary,34,Houston,Nurse,71273,Lead,Bachelor's
Laura,Male,47,Los Angeles,Writer,40972,Junior,High School
Kevin,Female,42,Seattle,Nurse,51583,Lead,Master's
Tom,Male,31,Dallas,Writer,56862,Manager,Bachelor's
Alice,Male,51,Dallas,Nurse,64507,Mid-level,Master's
Sophia,Male,25,Boston,Writer,68052,Executive,Associate Degree
Laura,Male,58,Miami,Teacher,65390,Senior,Bachelor's
Emma,Female,61,Seattle,Chef,37799,Lead,Master's
Ian,Non-binary,56,New York,Developer,112780,Director,Bachelor's
Charlie,Female,20,Denver,Pilot,135278,Manager,Bachelor's
Nina,Female,39,Denver,Doctor,155506,Senior,PhD
Tom,Female,49,Dallas,Engineer,77760,Director,Associate Degree
Ryan,Non-binary,34,San Francisco,Writer,65208,Junior,PhD
Emma,Non-binary,28,Boston,Nurse,53621,Manager,High School
Paula,Female,33,Seattle,Engineer,100784,Director,High School
Oliver,Male,37,Houston,Writer,80488,Junior,High School
Charlie,Non-binary,28,Denver,Engineer,73459,Lead,Master's
George,Non-binary,37,New York,Engineer,114171,Junior,Master's
